Title,URL,OriginURL,Comment
"Sao Kê Tháng 12/2022","https://docs.google.com/spreadsheets/d/e/2PACX-1vSR_w4N4FavsPkS8mqg2LwPTWo-mYOlc--QQPqq8seq_GFfxV9j8l-wcmcsAaqIwgFc-Kh3NCnWzvG_/pub?headers=false&gid=16075196&output=csv","https://docs.google.com/spreadsheets/d/e/2PACX-1vSR_w4N4FavsPkS8mqg2LwPTWo-mYOlc--QQPqq8seq_GFfxV9j8l-wcmcsAaqIwgFc-Kh3NCnWzvG_/pubhtml/sheet?headers=false&gid=16075196","Cột tham chiếu dư dữ liệu ngày - dữ liệu tổng hợp đầu sheet"
"Sao Kê Tháng 01/2023","https://docs.google.com/spreadsheets/u/1/d/e/2PACX-1vRlbfNP-6MwxRO27BZcMkGbty7whKOqi3t8JZO_VSrkt80Yt_jEgQMjjHYb2b2HeEP_ovYb5wLeq81_/pub?gid=377723382&single=true&output=csv","https://docs.google.com/spreadsheets/u/1/d/e/2PACX-1vRlbfNP-6MwxRO27BZcMkGbty7whKOqi3t8JZO_VSrkt80Yt_jEgQMjjHYb2b2HeEP_ovYb5wLeq81_/pubhtml?gid=377723382&single=true","Cột tham chiếu dư dữ liệu ngày - dữ liệu tổng hợp đầu sheet"
"Sao Kê Tháng 02/2023","https://docs.google.com/spreadsheets/u/1/d/e/2PACX-1vRlbfNP-6MwxRO27BZcMkGbty7whKOqi3t8JZO_VSrkt80Yt_jEgQMjjHYb2b2HeEP_ovYb5wLeq81_/pub?gid=610452646&single=true&output=csv","https://docs.google.com/spreadsheets/u/1/d/e/2PACX-1vRlbfNP-6MwxRO27BZcMkGbty7whKOqi3t8JZO_VSrkt80Yt_jEgQMjjHYb2b2HeEP_ovYb5wLeq81_/pubhtml?gid=610452646&single=true","Cột tham chiếu dư dữ liệu ngày - dữ liệu tổng hợp đầu sheet"
"Sao Kê Tháng 04/2023","https://docs.google.com/spreadsheets/u/1/d/e/2PACX-1vRlbfNP-6MwxRO27BZcMkGbty7whKOqi3t8JZO_VSrkt80Yt_jEgQMjjHYb2b2HeEP_ovYb5wLeq81_/pub?gid=1169040277&single=true&output=csv","https://docs.google.com/spreadsheets/u/1/d/e/2PACX-1vRlbfNP-6MwxRO27BZcMkGbty7whKOqi3t8JZO_VSrkt80Yt_jEgQMjjHYb2b2HeEP_ovYb5wLeq81_/pubhtml?gid=1169040277&single=true","Cột tham chiếu dư dữ liệu ngày - dữ liệu tổng hợp đầu sheet"
"Sao Kê Tháng 03/2023","https://docs.google.com/spreadsheets/u/1/d/e/2PACX-1vRlbfNP-6MwxRO27BZcMkGbty7whKOqi3t8JZO_VSrkt80Yt_jEgQMjjHYb2b2HeEP_ovYb5wLeq81_/pub?gid=1281546171&single=true&output=csv","https://docs.google.com/spreadsheets/u/1/d/e/2PACX-1vRlbfNP-6MwxRO27BZcMkGbty7whKOqi3t8JZO_VSrkt80Yt_jEgQMjjHYb2b2HeEP_ovYb5wLeq81_/pubhtml?gid=1281546171&single=true","Cột tham chiếu dư dữ liệu ngày - dữ liệu tổng hợp đầu sheet"
"Sao Kê Tháng 05/2023","https://docs.google.com/spreadsheets/u/1/d/e/2PACX-1vRlbfNP-6MwxRO27BZcMkGbty7whKOqi3t8JZO_VSrkt80Yt_jEgQMjjHYb2b2HeEP_ovYb5wLeq81_/pub?gid=1886010939&single=true&output=csv","https://docs.google.com/spreadsheets/u/1/d/e/2PACX-1vRlbfNP-6MwxRO27BZcMkGbty7whKOqi3t8JZO_VSrkt80Yt_jEgQMjjHYb2b2HeEP_ovYb5wLeq81_/pubhtml?gid=1886010939&single=true","Cột tham chiếu dư dữ liệu ngày - dữ liệu tổng hợp đầu sheet"
"Sao Kê Tháng 06/2023","https://docs.google.com/spreadsheets/u/1/d/e/2PACX-1vRlbfNP-6MwxRO27BZcMkGbty7whKOqi3t8JZO_VSrkt80Yt_jEgQMjjHYb2b2HeEP_ovYb5wLeq81_/pub?gid=59793641&single=true&output=csv", "https://docs.google.com/spreadsheets/u/1/d/e/2PACX-1vRlbfNP-6MwxRO27BZcMkGbty7whKOqi3t8JZO_VSrkt80Yt_jEgQMjjHYb2b2HeEP_ovYb5wLeq81_/pubhtml?gid=59793641&single=true","Cột tham chiếu dư dữ liệu ngày - dữ liệu tổng hợp đầu sheet"
"Sao Kê Tháng 07/2023","https://docs.google.com/spreadsheets/u/1/d/e/2PACX-1vRlbfNP-6MwxRO27BZcMkGbty7whKOqi3t8JZO_VSrkt80Yt_jEgQMjjHYb2b2HeEP_ovYb5wLeq81_/pub?gid=2050605634&single=true&output=csv","https://docs.google.com/spreadsheets/u/1/d/e/2PACX-1vRlbfNP-6MwxRO27BZcMkGbty7whKOqi3t8JZO_VSrkt80Yt_jEgQMjjHYb2b2HeEP_ovYb5wLeq81_/pubhtml?gid=2050605634&single=true","Cột tham chiếu dư dữ liệu ngày - dữ liệu tổng hợp đầu sheet"
"Sao Kê Tháng 08/2023","https://docs.google.com/spreadsheets/u/1/d/e/2PACX-1vRlbfNP-6MwxRO27BZcMkGbty7whKOqi3t8JZO_VSrkt80Yt_jEgQMjjHYb2b2HeEP_ovYb5wLeq81_/pub?gid=1447167668&single=true&output=csv","https://docs.google.com/spreadsheets/u/1/d/e/2PACX-1vRlbfNP-6MwxRO27BZcMkGbty7whKOqi3t8JZO_VSrkt80Yt_jEgQMjjHYb2b2HeEP_ovYb5wLeq81_/pubhtml?gid=1447167668&single=true","Cột tham chiếu dư dữ liệu ngày - dữ liệu tổng hợp đầu sheet"
"Sao Kê Tháng 09/2023","https://docs.google.com/spreadsheets/u/1/d/e/2PACX-1vRlbfNP-6MwxRO27BZcMkGbty7whKOqi3t8JZO_VSrkt80Yt_jEgQMjjHYb2b2HeEP_ovYb5wLeq81_/pub?gid=2000411197&single=true&output=csv","https://docs.google.com/spreadsheets/u/1/d/e/2PACX-1vRlbfNP-6MwxRO27BZcMkGbty7whKOqi3t8JZO_VSrkt80Yt_jEgQMjjHYb2b2HeEP_ovYb5wLeq81_/pubhtml?gid=2000411197&single=true","Cột tham chiếu dư dữ liệu ngày - dữ liệu tổng hợp đầu sheet"
